"","ID","SiteNumber","Lat","Long","intersection","HUC","elevation","elev_units","geometry"
"100",100,"02635.7*A",40.4811111,-107.2175,58346,"140500011104",2007.86,"meters",c(-107.2175, 40.4811111)
"101",101,"02692.*A",38.5097222,-107.8941667,85141,"140200060606",1743.07,"meters",c(-107.8941667, 38.5097222)
"102",102,"02709.*A",38.2897222,-104.4977778,57137,"110200021202",1426.92,"meters",c(-104.4977778, 38.2897222)
"103",103,"02742.*A",37.9536111,-107.9086111,84839,"140300030105",2746.16,"meters",c(-107.9086111, 37.9536111)
"104",104,"51531.*A",14.1741667,-145.2411111,NA,"",NA,"meters",c(-145.2411111, 14.1741667)
"105",105,"51523.2*A",15.12,-145.7297222,NA,"",NA,"meters",c(-145.7297222, 15.12)
"106",106,"51533.1*A",14.9991667,-145.6191667,NA,"",NA,"meters",c(-145.6191667, 14.9991667)
"107",107,"02785.*A",41.1633333,-73.1261111,82758,"011000060303",1.52,"meters",c(-73.1261111, 41.1633333)
"108",108,"02823.*A",41.33,-72.045,82522,"011000030303",2.8,"meters",c(-72.045, 41.33)
"109",109,"02858.*A",41.2636111,-72.8866667,82627,"011000040208",1.72,"meters",c(-72.8866667, 41.2636111)
"110",110,"02946.*A",41.9388889,-72.6833333,38393,"010802050104",51.61,"meters",c(-72.6833333, 41.9388889)
"111",111,"03001.*A",38.8513889,-77.0375,35906,"020700100301",3.66,"meters",c(-77.0375, 38.8513889)
"112",112,"03002.*A",38.9472222,-77.4597222,52943,"020700080902",86.19,"meters",c(-77.4597222, 38.9472222)
"113",113,"02967.*A",39.1294444,-75.4658333,21097,"020402070205",5.36,"meters",c(-75.4658333, 39.1294444)
"114",114,"02999.*A",39.6786111,-75.6063889,21100,"020402050505",20.86,"meters",c(-75.6063889, 39.6786111)
"115",115,"03147.*A",29.1797222,-81.0580556,13552,"030802010202",8.73,"meters",c(-81.0580556, 29.1797222)
"116",116,"03192.*A",26.0716667,-80.1494444,10934,"030902061300",1.94,"meters",c(-80.1494444, 26.0716667)
"117",117,"03198.2*A",26.5361111,-81.755,102177,"030902040101",8.41,"meters",c(-81.755, 26.5361111)
"118",118,"03210.*A",29.69,-82.2716667,9383,"030801021104",38.75,"meters",c(-82.2716667, 29.69)
"119",119,"03250.1*A",30.4938889,-81.6877778,796,"030801031601",5.97,"meters",c(-81.6877778, 30.4938889)
"120",120,"03263.*A",24.5561111,-81.7594444,10737,"030902030300",0.82,"meters",c(-81.7594444, 24.5561111)
"121",121,"03283.*A",27.9888889,-82.0183333,5536,"031002040103",39.98,"meters",c(-82.0183333, 27.9888889)
"122",122,"03314.*A",24.7261111,-81.0511111,10732,"030902030200",1.12,"meters",c(-81.0511111, 24.7261111)
"123",123,"03321.*A",28.1025,-80.645,102001,"030802020301",7.55,"meters",c(-80.645, 28.1025)
"124",124,"03333.*A",25.7952778,-80.29,102067,"030902061500",2.33,"meters",c(-80.29, 25.7952778)
"125",125,"03379.*A",26.1522222,-81.7755556,102090,"030902040603",1.7,"meters",c(-81.7755556, 26.1522222)
"126",126,"03394.*A",29.1716667,-82.2238889,779,"030801020600",23.15,"meters",c(-82.2238889, 29.1716667)
"127",127,"03407.*A",28.4291667,-81.3088889,89609,"030901010102",25.3,"meters",c(-81.3088889, 28.4291667)
"128",128,"03407.1*A",28.7769444,-81.2347222,6860,"030801011105",13.47,"meters",c(-81.2347222, 28.7769444)
