"","ID","SiteNumber","Lat","Long","intersection","HUC","elevation","elev_units","geometry"
"475",475,"24976.*A",31.6119444,-97.2302778,14619,"120602020801",154.49,"meters",c(-97.2302778, 31.6119444)
"476",476,"25029.*A",33.9886111,-98.4916667,15113,"111302060501",300.76,"meters",c(-98.4916667, 33.9886111)
"477",477,"25117.*A",37.7008333,-113.0986111,50628,"160300060407",1705.35,"meters",c(-113.0986111, 37.7008333)
"478",478,"25186.*A",41.7911111,-111.8513889,27923,"160102020702",1354.67,"meters",c(-111.8513889, 41.7911111)
"479",479,"25205.1*A",38.7547222,-109.7547222,27570,"140300050202",1383.31,"meters",c(-109.7547222, 38.7547222)
"480",480,"25233.*A",41.1955556,-112.0127778,31428,"160201020604",1354.11,"meters",c(-112.0127778, 41.1955556)
"481",481,"25269.*A",40.2191667,-111.7233333,47068,"160202010900",1369.22,"meters",c(-111.7233333, 40.2191667)
"482",482,"25289.*A",40.7883333,-111.9775,31437,"160202040405",1286.35,"meters",c(-111.9775, 40.7883333)
"483",483,"25282.02*A",37.0363889,-113.5102778,84647,"150100090605",872.17,"meters",c(-113.5102778, 37.0363889)
"484",484,"25324.*A",40.4408333,-109.5097222,51408,"140600100903",1599.95,"meters",c(-109.5097222, 40.4408333)
"485",485,"25333.*A",40.7186111,-114.0286111,66317,"160203061601",1287.26,"meters",c(-114.0286111, 40.7186111)
"486",486,"25666.*A",38.1394444,-78.4522222,50220,"020802040303",190.81,"meters",c(-78.4522222, 38.1394444)
"487",487,"25863.*A",37.3252778,-79.2011111,27982,"030101011504",281.47,"meters",c(-79.2011111, 37.3252778)
"488",488,"25897.*A",37.1316667,-76.4927778,669,"020801080101",11.08,"meters",c(-76.4927778, 37.1316667)
"489",489,"25905.*A",36.8944444,-76.2011111,30104,"020801080202",7.42,"meters",c(-76.2011111, 36.8944444)
"490",490,"25977.*A",37.505,-77.3194444,51581,"020802060503",47.09,"meters",c(-77.3194444, 37.505)
"491",491,"25986.*A",37.3252778,-79.9752778,52486,"030101010403",354.99,"meters",c(-79.9752778, 37.3252778)
"492",492,"26022.1*A",38.2636111,-78.8963889,50669,"020700050303",360.48,"meters",c(-78.8963889, 38.2636111)
"493",493,"55027.*A",18.3372222,-64.9733333,83207,"210200010104",5.99,"meters",c(-64.9733333, 18.3372222)
"494",494,"55030.*A",17.7013889,-64.8016667,82856,"210200020203",13.56,"meters",c(-64.8016667, 17.7013889)
"495",495,"25385.*A",44.4719444,-73.1530556,45589,"043001030704",100.6,"meters",c(-73.1530556, 44.4719444)
"496",496,"25526.*A",43.5297222,-72.9494444,45659,"043001020109",239.46,"meters",c(-72.9494444, 43.5297222)
"497",497,"26109.*A",48.7925,-122.5375,77008,"171100040505",48.22,"meters",c(-122.5375, 48.7925)
"498",498,"26210.*A",47.9069444,-122.2813889,77147,"171100190203",179.92,"meters",c(-122.2813889, 47.9069444)
"499",499,"26307.*A",47.2083333,-119.3188889,9197,"170200150406",355.94,"meters",c(-119.3188889, 47.2083333)
"500",500,"26345.*A",46.2644444,-119.1188889,73661,"170200160507",121.11,"meters",c(-119.1188889, 46.2644444)
"501",501,"26372.*A",46.7436111,-117.1094444,79752,"170601080202",771.35,"meters",c(-117.1094444, 46.7436111)
"502",502,"26396.*A",47.53,-122.3019444,76551,"171100130305",4.77,"meters",c(-122.3019444, 47.53)
"503",503,"26395.*A",47.4497222,-122.3116667,77148,"171100190204",123.94,"meters",c(-122.3116667, 47.4497222)
"504",504,"26416.*A",47.6188889,-117.535,74715,"170103060306",719.7,"meters",c(-117.535, 47.6188889)
"505",505,"26450.*A",46.095,-118.2858333,77061,"170701020808",356.66,"meters",c(-118.2858333, 46.095)
"506",506,"26461.*A",47.3980556,-120.2055556,73500,"170200100313",374.46,"meters",c(-120.2055556, 47.3980556)
"507",507,"26480.*A",46.5680556,-120.5438889,74132,"170300030105",325.99,"meters",c(-120.5438889, 46.5680556)
"508",508,"27013.1*A",44.2580556,-88.5188889,50860,"040302040202",267.79,"meters",c(-88.5188889, 44.2580556)
"509",509,"27170.*A",44.8655556,-91.4841667,29024,"070500050502",270.89,"meters",c(-91.4841667, 44.8655556)
"510",510,"27234.*A",44.4844444,-88.1297222,50910,"040302040404",206.98,"meters",c(-88.1297222, 44.4844444)
"511",511,"27272.*A",42.62,-89.0413889,73965,"070900021303",244.77,"meters",c(-89.0413889, 42.62)
"512",512,"27304.*A",43.8791667,-91.2563889,62559,"070400060103",198.5,"meters",c(-91.2563889, 43.8791667)
"513",513,"27346.*A",43.1397222,-89.3375,75459,"070900020701",260.95,"meters",c(-89.3375, 43.1397222)
"514",514,"27388.*A",42.9469444,-87.8969444,38710,"040400030501",204.89,"meters",c(-87.8969444, 42.9469444)
"515",515,"27406.31*A",44.7775,-89.6666667,77915,"070700021807",380.08,"meters",c(-89.6666667, 44.7775)
"516",516,"27524.*A",45.6308333,-89.4663889,36,"070700010603",488.74,"meters",c(-89.4663889, 45.6308333)
"517",517,"26520.*A",37.7872222,-81.1241667,82933,"050500040103",756.4,"meters",c(-81.1241667, 37.7872222)
"518",518,"26575.*A",38.3758333,-81.5927778,17843,"050500070909",283.2,"meters",c(-81.5927778, 38.3758333)
"519",519,"26582.*A",39.2975,-80.2275,83262,"050200020401",363.86,"meters",c(-80.2275, 39.2975)
"520",520,"26693.*A",38.3683333,-82.5602778,18285,"050702040406",251.16,"meters",c(-82.5602778, 38.3683333)
"521",521,"26713.*A",37.8580556,-80.3994444,2694,"050500030903",697.18,"meters",c(-80.3994444, 37.8580556)
"522",522,"26768.*A",39.6433333,-79.9175,83310,"050200030309",376.59,"meters",c(-79.9175, 39.6433333)
"523",523,"26820.*A",39.3447222,-81.4391667,83279,"050302020101",253.04,"meters",c(-81.4391667, 39.3447222)
"524",524,"27754.*A",42.9058333,-106.4636111,96017,"101800070604",1624.52,"meters",c(-106.4636111, 42.9058333)
"525",525,"27759.*A",41.1555556,-104.8102778,74814,"101900090109",1868.91,"meters",c(-104.8102778, 41.1555556)
"526",526,"27765.*A",44.52,-109.0236111,55438,"100800140106",1545.42,"meters",c(-109.0236111, 44.52)
"527",527,"27789.*A",44.3488889,-105.5391667,68484,"100902080102",1321.23,"meters",c(-105.5391667, 44.3488889)
"528",528,"27813.*A",43.6072222,-110.7375,102209,"170401010610",1960.12,"meters",c(-110.7375, 43.6072222)
"529",529,"27834.*A",41.3119444,-105.675,73349,"101800100602",2217.22,"meters",c(-105.675, 41.3119444)
"530",530,"27876.*A",43.0641667,-108.4597222,73395,"100800011005",1666.3,"meters",c(-108.4597222, 43.0641667)
"531",531,"27878.*A",41.5941667,-109.065,73413,"140401050903",2055.43,"meters",c(-109.065, 41.5941667)
"532",532,"27882.*A",44.7691667,-106.9802778,79232,"100901010107",1215.96,"meters",c(-106.9802778, 44.7691667)
"533",533,"27905.*A",43.9627778,-107.9502778,76198,"100800071106",1281.24,"meters",c(-107.9502778, 43.9627778)
